date,open,high,low,close,volume,ticker
2024-11-25,2020.0,2130.0,2010.0,2130.0,764765.0,EDN_BA
2024-11-26,2150.0,2230.0,2110.0,2165.0,485585.0,EDN_BA
2024-11-27,2200.0,2235.0,2075.0,2100.0,735921.0,EDN_BA
2024-11-28,2100.0,2145.0,2070.0,2105.0,175252.0,EDN_BA
2024-11-29,2140.0,2230.0,2070.0,2160.0,356375.0,EDN_BA
2024-12-02,2210.0,2275.0,2175.0,2230.0,615713.0,EDN_BA
2024-12-03,2280.0,2430.0,2245.0,2370.0,918742.0,EDN_BA
2024-12-04,2390.0,2445.0,2200.0,2220.0,917101.0,EDN_BA
2024-12-05,2270.0,2420.0,2185.0,2405.0,748837.0,EDN_BA
2024-12-06,2425.0,2525.0,2415.0,2490.0,976356.0,EDN_BA
2024-12-09,2545.0,2600.0,2390.0,2450.0,723411.0,EDN_BA
2024-12-10,2505.0,2505.0,2350.0,2440.0,657358.0,EDN_BA
2024-12-11,2450.0,2510.0,2365.0,2505.0,630336.0,EDN_BA
2024-12-12,2515.0,2665.0,2515.0,2570.0,801253.0,EDN_BA
2024-12-13,2630.0,2715.0,2570.0,2705.0,659354.0,EDN_BA
2024-12-16,2720.0,2825.0,2640.0,2765.0,1589387.0,EDN_BA
2024-12-17,2780.0,2815.0,2645.0,2665.0,1507272.0,EDN_BA
2024-12-18,2690.0,2750.0,2550.0,2555.0,1908355.0,EDN_BA
2024-12-19,2595.0,2665.0,2455.0,2465.0,769336.0,EDN_BA
2024-12-20,2450.0,2490.0,2300.0,2460.0,1515694.0,EDN_BA
2024-12-23,2475.0,2640.0,2420.0,2620.0,762191.0,EDN_BA
2024-12-24,2695.0,2710.0,2615.0,2695.0,241857.0,EDN_BA
2024-12-26,2690.0,2725.0,2630.0,2675.0,700472.0,EDN_BA
2024-12-27,2680.0,2700.0,2560.0,2610.0,632757.0,EDN_BA
2024-12-30,2620.0,2620.0,2525.0,2540.0,268730.0,EDN_BA
2025-01-02,2550.0,2790.0,2480.0,2765.0,1101532.0,EDN_BA
2025-01-03,2790.0,2840.0,2550.0,2635.0,2286786.0,EDN_BA
2025-01-06,2680.0,2705.0,2575.0,2610.0,1145215.0,EDN_BA
2025-01-07,2620.0,2670.0,2505.0,2560.0,1462052.0,EDN_BA
2025-01-08,2505.0,2505.0,2280.0,2290.0,7211439.0,EDN_BA
2025-01-09,2290.0,2385.0,2275.0,2340.0,2101570.0,EDN_BA
2025-01-10,2300.0,2320.0,2160.0,2235.0,3463943.0,EDN_BA
2025-01-13,2225.0,2225.0,2015.0,2025.0,2232309.0,EDN_BA
2025-01-14,2025.0,2200.0,2025.0,2155.0,1951919.0,EDN_BA
2025-01-15,2200.0,2240.0,2080.0,2105.0,1086445.0,EDN_BA
2025-01-16,2105.0,2125.0,1990.0,2000.0,992333.0,EDN_BA
2025-01-17,2010.0,2035.0,1920.0,1960.0,1476771.0,EDN_BA
