date,open,high,low,close,volume,ticker
2024-11-25,2440.0,2485.0,2350.0,2475.0,1499196.0,LOMA_BA
2024-11-26,2480.0,2635.0,2425.0,2575.0,1361263.0,LOMA_BA
2024-11-27,2635.0,2665.0,2485.0,2535.0,1187658.0,LOMA_BA
2024-11-28,2540.0,2640.0,2450.0,2600.0,577651.0,LOMA_BA
2024-11-29,2650.0,2685.0,2520.0,2665.0,813404.0,LOMA_BA
2024-12-02,2725.0,2795.0,2650.0,2780.0,1629372.0,LOMA_BA
2024-12-03,2795.0,2880.0,2740.0,2850.0,1171901.0,LOMA_BA
2024-12-04,2850.0,2875.0,2690.0,2745.0,1768866.0,LOMA_BA
2024-12-05,2745.0,2745.0,2585.0,2660.0,2259289.0,LOMA_BA
2024-12-06,2650.0,2740.0,2540.0,2595.0,953005.0,LOMA_BA
2024-12-09,2640.0,2700.0,2520.0,2645.0,847534.0,LOMA_BA
2024-12-10,2645.0,2695.0,2610.0,2620.0,489771.0,LOMA_BA
2024-12-11,2630.0,2800.0,2535.0,2780.0,590580.0,LOMA_BA
2024-12-12,2815.0,2895.0,2740.0,2875.0,1220585.0,LOMA_BA
2024-12-13,2900.0,2970.0,2855.0,2870.0,842241.0,LOMA_BA
2024-12-16,2880.0,3035.0,2830.0,2990.0,1195702.0,LOMA_BA
2024-12-17,2990.0,3125.0,2900.0,2935.0,891720.0,LOMA_BA
2024-12-18,3025.0,3030.0,2795.0,2805.0,861616.0,LOMA_BA
2024-12-19,2800.0,2880.0,2650.0,2710.0,632125.0,LOMA_BA
2024-12-20,2660.0,2770.0,2560.0,2750.0,873336.0,LOMA_BA
2024-12-23,2750.0,2850.0,2690.0,2780.0,668427.0,LOMA_BA
2024-12-24,2800.0,2860.0,2795.0,2805.0,120056.0,LOMA_BA
2024-12-26,2805.0,2940.0,2790.0,2930.0,586628.0,LOMA_BA
2024-12-27,2950.0,3000.0,2870.0,2985.0,650620.0,LOMA_BA
2024-12-30,3010.0,3100.0,2855.0,2880.0,590039.0,LOMA_BA
2025-01-02,2950.0,3025.0,2900.0,2980.0,1108987.0,LOMA_BA
2025-01-03,3020.0,3100.0,2875.0,3005.0,781706.0,LOMA_BA
2025-01-06,3060.0,3220.0,3030.0,3060.0,1005064.0,LOMA_BA
2025-01-07,3075.0,3150.0,3020.0,3080.0,930459.0,LOMA_BA
2025-01-08,3100.0,3100.0,2930.0,3000.0,757730.0,LOMA_BA
2025-01-09,3050.0,3050.0,2915.0,3000.0,321520.0,LOMA_BA
2025-01-10,3010.0,3060.0,2890.0,3040.0,1019372.0,LOMA_BA
2025-01-13,3100.0,3100.0,2775.0,2790.0,1146845.0,LOMA_BA
2025-01-14,2800.0,2915.0,2800.0,2860.0,702830.0,LOMA_BA
2025-01-15,2940.0,3025.0,2760.0,2765.0,555825.0,LOMA_BA
2025-01-16,2775.0,2805.0,2655.0,2660.0,540303.0,LOMA_BA
2025-01-17,2670.0,2730.0,2515.0,2525.0,691743.0,LOMA_BA
2025-01-20,2500.0,2675.0,2500.0,2570.0,292977.0,LOMA_BA
