date,open,high,low,close,volume,ticker
2024-11-25,950.0,1000.0,940.0,966.0,6501851.0,TXAR_BA
2024-11-26,979.0,989.0,945.0,965.0,3420851.0,TXAR_BA
2024-11-27,967.0,979.0,925.0,949.0,3629532.0,TXAR_BA
2024-11-28,949.0,955.0,930.0,945.0,657803.0,TXAR_BA
2024-11-29,949.0,971.0,934.0,962.0,1419052.0,TXAR_BA
2024-12-02,956.0,1025.0,952.0,995.0,3168365.0,TXAR_BA
2024-12-03,1000.0,1020.0,972.0,995.0,1532212.0,TXAR_BA
2024-12-04,1000.0,1015.0,950.0,962.0,1680573.0,TXAR_BA
2024-12-05,960.0,985.0,933.0,942.0,1183636.0,TXAR_BA
2024-12-06,942.0,956.0,905.0,925.0,1488557.0,TXAR_BA
2024-12-09,932.0,950.0,904.0,919.0,743513.0,TXAR_BA
2024-12-10,919.0,919.0,889.0,895.0,1065754.0,TXAR_BA
2024-12-11,891.0,920.0,883.0,916.0,706435.0,TXAR_BA
2024-12-12,917.0,922.0,883.0,888.0,1145155.0,TXAR_BA
2024-12-13,892.0,926.0,888.0,923.0,1865362.0,TXAR_BA
2024-12-16,924.0,955.0,924.0,954.0,3500293.0,TXAR_BA
2024-12-17,960.0,979.0,925.0,967.0,6030429.0,TXAR_BA
2024-12-18,978.0,983.0,955.0,956.0,3527753.0,TXAR_BA
2024-12-19,956.0,959.0,922.0,934.0,1091092.0,TXAR_BA
2024-12-20,940.0,950.0,910.0,912.0,1047143.0,TXAR_BA
2024-12-23,918.0,924.0,905.0,917.0,753100.0,TXAR_BA
2024-12-24,919.0,925.0,912.0,921.0,136839.0,TXAR_BA
2024-12-26,912.0,932.0,885.0,893.0,3477899.0,TXAR_BA
2024-12-27,897.0,905.0,881.0,896.0,973938.0,TXAR_BA
2024-12-30,900.0,906.0,865.0,895.0,1197374.0,TXAR_BA
2025-01-02,910.0,911.0,885.0,898.0,2147198.0,TXAR_BA
2025-01-03,900.0,905.0,879.0,882.0,2300783.0,TXAR_BA
2025-01-06,882.0,890.0,859.0,866.0,1665288.0,TXAR_BA
2025-01-07,870.0,874.0,852.0,868.0,1353653.0,TXAR_BA
2025-01-08,861.0,899.0,820.0,864.0,1673441.0,TXAR_BA
2025-01-09,861.0,888.0,861.0,878.0,2526645.0,TXAR_BA
2025-01-10,872.0,903.0,872.0,901.0,2215789.0,TXAR_BA
2025-01-13,909.0,910.0,871.0,873.0,1404138.0,TXAR_BA
2025-01-14,890.0,890.0,841.0,846.0,2534618.0,TXAR_BA
2025-01-15,842.0,854.0,817.0,819.0,1131789.0,TXAR_BA
2025-01-16,827.0,827.0,794.0,800.0,1571697.0,TXAR_BA
2025-01-17,800.0,814.0,766.0,796.0,2161552.0,TXAR_BA
2025-01-20,797.0,814.0,785.0,793.0,983741.0,TXAR_BA
2025-01-21,797.0,804.0,774.0,782.0,1633310.0,TXAR_BA
2025-01-22,782.0,811.0,782.0,808.0,2357725.0,TXAR_BA
2025-01-23,808.0,829.0,798.0,827.0,2161030.0,TXAR_BA
2025-01-24,830.0,836.0,798.0,816.0,2617869.0,TXAR_BA
2025-01-27,807.0,815.0,791.0,798.0,875254.0,TXAR_BA
2025-01-28,805.0,805.0,765.0,777.0,2343104.0,TXAR_BA
2025-01-29,779.0,815.0,778.0,808.0,1416918.0,TXAR_BA
2025-01-30,805.0,844.0,805.0,838.0,2428730.0,TXAR_BA
2025-01-31,837.0,859.0,835.0,854.0,2812321.0,TXAR_BA
2025-02-03,848.0,863.0,806.0,841.0,1377473.0,TXAR_BA
2025-02-04,836.0,857.0,829.0,850.0,766660.0,TXAR_BA
2025-02-05,840.0,853.0,827.0,827.0,958422.0,TXAR_BA
2025-02-06,827.0,833.0,797.0,814.0,2612303.0,TXAR_BA
2025-02-07,815.0,830.0,795.0,804.0,1074044.0,TXAR_BA
2025-02-10,785.0,819.0,763.0,811.0,1848239.0,TXAR_BA
2025-02-11,811.0,815.0,772.0,782.0,1384294.0,TXAR_BA
2025-02-12,779.0,787.0,761.0,771.0,1951541.0,TXAR_BA
2025-02-13,772.0,785.0,767.0,782.0,836176.0,TXAR_BA
2025-02-14,786.0,823.0,758.0,819.0,5226143.0,TXAR_BA
2025-02-17,805.0,830.0,781.0,810.0,2876620.0,TXAR_BA
2025-02-18,811.0,823.0,797.0,819.0,2229796.0,TXAR_BA
2025-02-19,814.0,823.0,801.0,816.0,1322388.0,TXAR_BA
2025-02-20,819.0,821.0,802.0,804.0,1187117.0,TXAR_BA
2025-02-21,810.0,812.0,784.0,795.0,2010095.0,TXAR_BA
2025-02-24,795.0,807.0,769.0,772.0,2480032.0,TXAR_BA
2025-02-25,769.0,776.0,749.0,753.0,1481059.0,TXAR_BA
2025-02-26,760.0,761.0,733.0,737.0,1776206.0,TXAR_BA
2025-02-27,738.0,746.0,715.0,724.0,4500756.0,TXAR_BA
2025-02-28,723.0,733.0,708.0,720.0,1370987.0,TXAR_BA
2025-03-05,725.0,748.0,711.0,745.0,1952173.0,TXAR_BA
2025-03-06,756.0,772.0,730.0,760.0,1955437.0,TXAR_BA
2025-03-07,750.0,768.0,734.0,760.0,934602.0,TXAR_BA
2025-03-10,741.0,754.0,720.0,722.0,576457.0,TXAR_BA
2025-03-11,723.0,742.0,713.0,722.0,697024.0,TXAR_BA
2025-03-12,735.0,747.0,715.0,738.0,1477677.0,TXAR_BA
2025-03-13,740.0,740.0,710.0,726.0,1051086.0,TXAR_BA
2025-03-14,738.0,757.0,729.0,749.0,3737281.0,TXAR_BA
2025-03-17,739.0,798.0,739.0,791.0,2268025.0,TXAR_BA
2025-03-18,801.0,825.0,781.0,793.0,3178976.0,TXAR_BA
2025-03-19,795.0,815.0,767.0,811.0,2666431.0,TXAR_BA
2025-03-20,806.0,806.0,780.0,794.0,672860.0,TXAR_BA
2025-03-21,792.0,829.0,782.0,820.0,1856455.0,TXAR_BA
2025-03-25,829.0,829.0,803.0,808.0,1715451.0,TXAR_BA
2025-03-26,808.0,814.0,775.0,783.0,2460806.0,TXAR_BA
2025-03-27,790.0,797.0,772.0,791.0,1024424.0,TXAR_BA
2025-03-28,795.0,803.0,771.0,800.0,1027543.0,TXAR_BA
2025-03-31,800.0,825.0,771.0,820.0,2476541.0,TXAR_BA
2025-04-01,822.0,825.0,787.0,789.0,762876.0,TXAR_BA
2025-04-03,760.0,783.0,749.0,752.0,1012076.0,TXAR_BA
2025-04-04,744.0,760.0,692.0,740.0,2651754.0,TXAR_BA
2025-04-07,727.0,752.0,705.0,710.0,1968214.0,TXAR_BA
2025-04-08,725.0,739.0,670.0,680.0,1793624.0,TXAR_BA
2025-04-09,680.0,754.0,625.0,717.0,4767460.0,TXAR_BA
2025-04-10,716.0,752.0,688.0,744.0,2464239.0,TXAR_BA
2025-04-11,750.0,789.0,730.0,767.0,3609837.0,TXAR_BA
2025-04-14,795.0,806.0,762.0,776.0,1106635.0,TXAR_BA
2025-04-15,780.0,780.0,716.0,725.0,1339163.0,TXAR_BA
2025-04-16,730.0,734.0,671.0,688.0,1166718.0,TXAR_BA
2025-04-21,679.0,679.0,585.0,594.0,3829615.0,TXAR_BA
2025-04-22,595.0,617.0,587.0,603.0,2769116.0,TXAR_BA
2025-04-23,612.0,647.0,606.0,630.0,4957526.0,TXAR_BA
2025-04-24,646.0,650.0,620.0,629.0,1493457.0,TXAR_BA
2025-04-25,631.0,650.0,618.0,644.0,1709255.0,TXAR_BA
2025-04-28,649.0,657.0,621.0,652.0,1040440.0,TXAR_BA
2025-04-29,657.0,673.0,613.0,627.0,2599589.0,TXAR_BA
2025-04-30,625.0,625.0,590.0,603.0,1566558.0,TXAR_BA
2025-05-05,600.0,621.0,591.0,617.0,1048147.0,TXAR_BA
2025-05-06,620.0,652.0,610.0,634.0,1337183.0,TXAR_BA
2025-05-07,635.0,649.0,610.0,624.0,1708480.0,TXAR_BA
2025-05-08,628.0,640.0,592.0,599.0,2287962.0,TXAR_BA
2025-05-09,599.0,608.0,582.0,591.0,1368274.0,TXAR_BA
2025-05-12,604.0,605.0,565.0,570.0,3711085.0,TXAR_BA
2025-05-13,585.0,618.0,568.0,615.0,3060421.0,TXAR_BA
2025-05-14,616.0,641.0,607.0,617.0,3528050.0,TXAR_BA
2025-05-15,617.0,628.0,605.0,619.0,1433084.0,TXAR_BA
2025-05-16,619.0,670.0,613.0,653.0,1951038.0,TXAR_BA
2025-05-19,660.0,664.0,640.0,643.0,861280.0,TXAR_BA
2025-05-20,648.0,670.0,633.0,666.0,2129860.0,TXAR_BA
2025-05-21,666.0,698.0,666.0,679.0,3834794.0,TXAR_BA
2025-05-22,690.0,697.0,655.0,676.0,2444273.0,TXAR_BA
2025-05-23,680.0,685.0,668.0,679.0,1507918.0,TXAR_BA
2025-05-26,682.0,698.0,679.0,697.0,2157442.0,TXAR_BA
2025-05-27,699.0,707.0,685.0,699.0,1972007.0,TXAR_BA
2025-05-28,696.0,723.0,685.0,713.0,2831184.0,TXAR_BA
2025-05-29,713.0,728.0,703.0,714.0,2480206.0,TXAR_BA
2025-05-30,717.0,718.0,693.0,701.0,2243860.0,TXAR_BA
2025-06-02,697.0,698.0,656.0,661.0,2734769.0,TXAR_BA
2025-06-03,645.0,672.0,640.0,648.0,1412473.0,TXAR_BA
2025-06-04,648.0,654.0,627.0,636.0,1817527.0,TXAR_BA
2025-06-05,625.0,653.0,625.0,639.0,860354.0,TXAR_BA
2025-06-06,641.0,651.0,627.0,645.0,1247002.0,TXAR_BA
2025-06-09,644.0,658.0,617.0,623.0,1120812.0,TXAR_BA
2025-06-10,623.0,644.0,622.0,635.0,1268377.0,TXAR_BA
2025-06-11,636.0,647.0,629.0,637.0,912589.0,TXAR_BA
2025-06-12,647.0,649.0,633.0,644.0,373504.0,TXAR_BA
2025-06-13,644.0,652.0,617.0,621.0,1020560.0,TXAR_BA
2025-06-17,620.0,632.0,576.0,595.0,3663372.0,TXAR_BA
2025-06-18,602.0,602.0,585.0,587.0,1832357.0,TXAR_BA
2025-06-19,588.0,596.0,582.0,591.0,483877.0,TXAR_BA
2025-06-23,590.0,591.0,553.0,565.0,2065151.0,TXAR_BA
2025-06-24,571.0,619.0,567.0,607.0,2345519.0,TXAR_BA
2025-06-25,610.0,621.0,591.0,615.0,1089804.0,TXAR_BA
2025-06-26,626.0,640.0,622.0,626.0,3020972.0,TXAR_BA
2025-06-27,637.0,650.0,622.0,630.0,2224676.0,TXAR_BA
2025-06-30,646.0,646.0,609.0,616.0,1784885.0,TXAR_BA
2025-07-01,616.0,623.0,601.0,612.0,1656030.0,TXAR_BA
2025-07-02,617.0,666.0,613.0,638.0,3322771.0,TXAR_BA
2025-07-03,638.0,659.0,637.0,646.0,1411862.0,TXAR_BA
2025-07-04,646.0,653.0,640.0,647.0,309540.0,TXAR_BA
2025-07-07,645.0,656.0,634.0,638.0,1993533.0,TXAR_BA
2025-07-08,632.0,644.0,623.0,625.0,1666046.0,TXAR_BA
2025-07-10,623.0,635.0,615.0,629.0,715532.0,TXAR_BA
2025-07-11,620.0,636.0,614.0,622.0,1217017.0,TXAR_BA
2025-07-14,623.0,669.0,623.0,658.0,4379377.0,TXAR_BA
2025-07-15,658.0,678.0,635.0,655.0,2720420.0,TXAR_BA
2025-07-16,656.0,664.0,638.0,650.0,1356092.0,TXAR_BA
2025-07-17,656.0,656.0,638.0,643.0,1173792.0,TXAR_BA
2025-07-18,645.0,665.0,639.0,657.0,1075697.0,TXAR_BA
2025-07-21,654.0,665.0,627.0,631.0,1156431.0,TXAR_BA
2025-07-22,631.0,637.0,609.0,617.0,712773.0,TXAR_BA
2025-07-23,620.0,632.0,613.0,621.0,1202545.0,TXAR_BA
2025-07-24,624.0,642.0,611.0,631.0,973860.0,TXAR_BA
2025-07-25,637.0,669.0,635.0,660.0,2999352.0,TXAR_BA
2025-07-28,651.0,675.0,651.0,658.0,1948362.0,TXAR_BA
2025-07-29,665.0,670.0,653.0,665.0,2150533.0,TXAR_BA
2025-07-30,670.0,698.0,661.0,694.0,2616809.0,TXAR_BA
2025-07-31,697.0,712.0,684.0,696.0,2429492.0,TXAR_BA
2025-08-01,697.0,699.0,673.0,675.0,1548614.0,TXAR_BA
2025-08-04,680.0,689.0,648.0,654.0,2583649.0,TXAR_BA
2025-08-05,655.0,659.0,633.0,647.0,3697136.0,TXAR_BA
2025-08-06,649.0,658.0,627.0,635.0,3876162.0,TXAR_BA
2025-08-07,636.0,639.0,611.0,616.0,3451593.0,TXAR_BA
2025-08-08,624.0,639.0,603.0,633.0,3239217.0,TXAR_BA
2025-08-11,618.0,648.0,618.0,640.0,2987154.0,TXAR_BA
