date,open,high,low,close,volume,ticker
2024-11-25,3780.0,3870.0,3610.0,3710.0,2729796.0,PAMP_BA
2024-11-26,3770.0,3780.0,3550.0,3730.0,1529755.0,PAMP_BA
2024-11-27,3800.0,3800.0,3670.0,3730.0,1221608.0,PAMP_BA
2024-11-28,3750.0,3790.0,3665.0,3775.0,609836.0,PAMP_BA
2024-11-29,3800.0,3900.0,3735.0,3855.0,1195659.0,PAMP_BA
2024-12-02,3930.0,3930.0,3755.0,3880.0,2705513.0,PAMP_BA
2024-12-03,3895.0,3970.0,3820.0,3890.0,2079813.0,PAMP_BA
2024-12-04,3890.0,3930.0,3720.0,3770.0,2062353.0,PAMP_BA
2024-12-05,3770.0,3895.0,3615.0,3740.0,2528516.0,PAMP_BA
2024-12-06,3750.0,3850.0,3610.0,3730.0,1440830.0,PAMP_BA
2024-12-09,3730.0,3835.0,3710.0,3770.0,1252159.0,PAMP_BA
2024-12-10,3800.0,3835.0,3680.0,3715.0,1328052.0,PAMP_BA
2024-12-11,3720.0,3895.0,3695.0,3870.0,2150148.0,PAMP_BA
2024-12-12,3900.0,3965.0,3800.0,3820.0,3241387.0,PAMP_BA
2024-12-13,3820.0,3965.0,3800.0,3890.0,2479628.0,PAMP_BA
2024-12-16,3895.0,4120.0,3895.0,4110.0,2869404.0,PAMP_BA
2024-12-17,4120.0,4200.0,4075.0,4175.0,2377675.0,PAMP_BA
2024-12-18,4260.0,4320.0,4050.0,4070.0,2355601.0,PAMP_BA
2024-12-19,4080.0,4170.0,3930.0,3950.0,1676943.0,PAMP_BA
2024-12-20,3950.0,4050.0,3690.0,4040.0,1955868.0,PAMP_BA
2024-12-23,4070.0,4250.0,3960.0,4065.0,1180886.0,PAMP_BA
2024-12-24,4100.0,4155.0,4065.0,4135.0,224222.0,PAMP_BA
2024-12-26,4135.0,4275.0,4135.0,4215.0,1293492.0,PAMP_BA
2024-12-27,4230.0,4260.0,4110.0,4190.0,1009322.0,PAMP_BA
2024-12-30,4200.0,4220.0,4110.0,4165.0,1002901.0,PAMP_BA
2025-01-02,4170.0,4450.0,4170.0,4385.0,2259748.0,PAMP_BA
2025-01-03,4420.0,4510.0,4255.0,4445.0,1930097.0,PAMP_BA
2025-01-06,4500.0,4560.0,4400.0,4500.0,1937570.0,PAMP_BA
2025-01-07,4515.0,4635.0,4450.0,4555.0,2676185.0,PAMP_BA
2025-01-08,4580.0,4580.0,4280.0,4470.0,2866124.0,PAMP_BA
2025-01-09,4555.0,4645.0,4460.0,4575.0,1568067.0,PAMP_BA
2025-01-10,4505.0,4630.0,4430.0,4530.0,2266661.0,PAMP_BA
2025-01-13,4550.0,4590.0,4300.0,4305.0,1433648.0,PAMP_BA
2025-01-14,4315.0,4490.0,4315.0,4465.0,1906781.0,PAMP_BA
2025-01-15,4550.0,4580.0,4345.0,4420.0,1609267.0,PAMP_BA
2025-01-16,4420.0,4460.0,4265.0,4290.0,1257453.0,PAMP_BA
2025-01-17,4290.0,4325.0,4060.0,4080.0,2343509.0,PAMP_BA
2025-01-20,4090.0,4185.0,4005.0,4045.0,888929.0,PAMP_BA
2025-01-21,4100.0,4225.0,4040.0,4210.0,1806432.0,PAMP_BA
2025-01-22,4210.0,4300.0,4165.0,4235.0,969983.0,PAMP_BA
2025-01-23,4235.0,4245.0,4140.0,4175.0,916191.0,PAMP_BA
2025-01-24,4075.0,4195.0,3865.0,4040.0,2106129.0,PAMP_BA
2025-01-27,4030.0,4030.0,3780.0,3875.0,2234216.0,PAMP_BA
2025-01-28,3895.0,3950.0,3680.0,3800.0,2878034.0,PAMP_BA
2025-01-29,3800.0,4080.0,3725.0,4065.0,1787310.0,PAMP_BA
2025-01-30,4110.0,4300.0,4100.0,4280.0,1918717.0,PAMP_BA
2025-01-31,4350.0,4365.0,4200.0,4240.0,734240.0,PAMP_BA
2025-02-03,4160.0,4160.0,4000.0,4080.0,1476544.0,PAMP_BA
2025-02-04,4080.0,4180.0,4080.0,4150.0,728526.0,PAMP_BA
2025-02-05,4150.0,4180.0,4015.0,4025.0,731211.0,PAMP_BA
2025-02-06,4035.0,4125.0,3975.0,4055.0,1008141.0,PAMP_BA
2025-02-07,4065.0,4120.0,3830.0,3890.0,1656106.0,PAMP_BA
2025-02-10,3890.0,3955.0,3710.0,3775.0,2566650.0,PAMP_BA
2025-02-11,3775.0,3840.0,3600.0,3650.0,2804060.0,PAMP_BA
2025-02-12,3660.0,3825.0,3500.0,3720.0,2472248.0,PAMP_BA
2025-02-13,3730.0,3875.0,3720.0,3855.0,916572.0,PAMP_BA
2025-02-14,3880.0,3945.0,3800.0,3940.0,1159987.0,PAMP_BA
2025-02-17,3850.0,3895.0,3660.0,3705.0,2431021.0,PAMP_BA
2025-02-18,3720.0,3990.0,3720.0,3940.0,2080058.0,PAMP_BA
2025-02-19,3950.0,4015.0,3900.0,3965.0,1048256.0,PAMP_BA
2025-02-20,3965.0,4010.0,3865.0,3945.0,1134284.0,PAMP_BA
2025-02-21,4000.0,4070.0,3900.0,3905.0,1813551.0,PAMP_BA
2025-02-24,3990.0,3995.0,3795.0,3890.0,896155.0,PAMP_BA
2025-02-25,3890.0,3935.0,3700.0,3775.0,1041759.0,PAMP_BA
2025-02-26,3780.0,3830.0,3700.0,3720.0,1306403.0,PAMP_BA
2025-02-27,3735.0,3780.0,3575.0,3610.0,1436658.0,PAMP_BA
2025-02-28,3630.0,3815.0,3525.0,3745.0,1600317.0,PAMP_BA
2025-03-05,3700.0,3820.0,3665.0,3800.0,882855.0,PAMP_BA
2025-03-06,3850.0,3920.0,3725.0,3850.0,1461859.0,PAMP_BA
2025-03-07,3900.0,3970.0,3715.0,3875.0,1040418.0,PAMP_BA
2025-03-10,3785.0,3785.0,3570.0,3670.0,1577884.0,PAMP_BA
2025-03-11,3705.0,3805.0,3645.0,3735.0,1797340.0,PAMP_BA
2025-03-12,3815.0,4000.0,3815.0,3975.0,2330279.0,PAMP_BA
2025-03-13,3935.0,4025.0,3845.0,3895.0,948257.0,PAMP_BA
2025-03-14,3970.0,4095.0,3945.0,4080.0,1229367.0,PAMP_BA
2025-03-17,4080.0,4150.0,4020.0,4030.0,1029330.0,PAMP_BA
2025-03-18,3985.0,4005.0,3890.0,3945.0,1185548.0,PAMP_BA
2025-03-19,3960.0,4145.0,3960.0,4130.0,1142765.0,PAMP_BA
2025-03-20,4130.0,4160.0,4025.0,4115.0,856996.0,PAMP_BA
2025-03-21,4170.0,4275.0,4110.0,4255.0,1087648.0,PAMP_BA
2025-03-25,4300.0,4395.0,4255.0,4345.0,1167957.0,PAMP_BA
2025-03-26,4390.0,4390.0,4240.0,4250.0,1100702.0,PAMP_BA
