ticker,method,n_trades_total,win_rate_total,cumulative_return_total,max_drawdown_total,n_trades_is,win_rate_is,cumulative_return_is,max_drawdown_is,n_trades_oos,win_rate_oos,cumulative_return_oos,max_drawdown_oos,n_confirmed,n_not_confirmed,cumulative_confirmed,cumulative_not_confirmed
BBAR_BA,HMA16,96,0.3645833333333333,1.376896968062863,-0.668391129304128,66,0.3787878787878788,2.094796797232395,-0.4615889624834646,30,0.3333333333333333,-0.23196994058270082,-0.6052290935671851,48,47,2.2387545472974493,-0.28520134140973263
BBAR_BA,EMA_12_26,42,0.5,5.953610180440736,-0.5116967776063787,30,0.5333333333333333,4.470102970972799,-0.46436216454346163,12,0.4166666666666667,0.2712027940498003,-0.5116967776063787,24,18,0.21210140184047188,4.736822158511061
BBAR_BA,SMA_10_50_100,28,0.6071428571428571,9.495738953773705,-0.20988378849506106,21,0.6190476190476191,5.487921604642778,-0.20380733944954135,7,0.5714285714285714,0.6177351690351682,-0.20988378849506112,17,11,2.5355436048929363,1.9686351313128672
BBAR_BA,B&H,1,1.0,47.29769230769231,0.0,1,1.0,29.007094017094015,0.0,1,1.0,0.5993394077448746,0.0,0,0,,
BBAR_MEP,HMA16,84,0.34523809523809523,-0.7272643050683328,-0.7866290399784491,57,0.3333333333333333,-0.49716056532397346,-0.6230787638508702,27,0.37037037037037035,-0.4576087790183211,-0.6464930291884854,46,38,-0.29660090874113754,-0.6122603820207444
BBAR_MEP,EMA_12_26,35,0.45714285714285713,0.19087047602077134,-0.5782725002798564,25,0.44,-0.18553267041068888,-0.5782725002798564,10,0.5,0.4621464026325752,-0.31066458036984357,17,18,2.9562794061508058,-0.698992322390241
BBAR_MEP,SMA_10_50_100,21,0.5238095238095238,0.9636518536719376,-0.34989143749324714,15,0.5333333333333333,0.4138510287342725,-0.34989143749324714,6,0.5,0.38886757781678405,-0.24625557206537899,12,9,-0.161696972887177,1.342412934419309
BBAR_MEP,B&H,1,1.0,3.149663865546219,0.0,1,1.0,1.872352941176471,0.0,1,1.0,0.43736842105263163,0.0,0,0,,
BMA_BA,HMA16,94,0.4148936170212766,1.517795959484968,-0.5149311204721192,66,0.45454545454545453,1.4675643852354705,-0.4558327139584901,28,0.32142857142857145,0.02035674309049651,-0.44713161952873404,60,33,0.29685707126740657,0.9277034871460879
BMA_BA,EMA_12_26,44,0.4318181818181818,5.163518256565694,-0.4863185014657767,34,0.4411764705882353,2.6607675361306864,-0.4863185014657767,10,0.4,0.6836683006319311,-0.25100392842497093,26,18,0.7739339918810686,2.474491319730529
BMA_BA,SMA_10_50_100,29,0.6551724137931034,11.772615247979799,-0.2925552825552825,24,0.6666666666666666,8.684623614246117,-0.2925552825552825,5,0.6,0.3188551002840456,-0.21857001367487908,18,11,3.6526650714179763,1.7452255969259203
BMA_BA,B&H,1,1.0,44.268969957081545,0.0,1,1.0,31.650944206008585,0.0,1,1.0,0.3745144356955381,0.0,0,0,,
BMA_MEP,HMA16,77,0.3246753246753247,-0.21111310390219928,-0.6154464045729372,52,0.3269230769230769,0.00219535895065337,-0.5325539985881145,25,0.32,-0.21284120001932216,-0.53223836301848,48,29,-0.06405585661466462,-0.15712182006462905
BMA_MEP,EMA_12_26,33,0.42424242424242425,0.6397097156273348,-0.5784070204978341,24,0.4166666666666667,-0.09726327944154045,-0.5784070204978341,9,0.4444444444444444,0.8163764454080935,-0.2036805285744232,18,15,0.38104195690325393,0.18729898641464748
BMA_MEP,SMA_10_50_100,19,0.3684210526315789,-0.34127397772436896,-0.6243021485361862,14,0.2857142857142857,-0.40280821095432007,-0.6243021485361862,5,0.6,0.10303931560794499,-0.28746744078093195,13,6,-0.5076546159157869,0.3379347985579153
BMA_MEP,B&H,1,1.0,2.905343915343916,0.0,1,1.0,2.1381481481481486,0.0,1,1.0,0.23789207419898828,0.0,0,0,,
CEPU_BA,HMA16,91,0.4065934065934066,2.267236117547854,-0.3899238494402264,65,0.4461538461538462,2.6285009783946807,-0.29362736808769,26,0.3076923076923077,-0.09956311518115035,-0.3892005971185081,50,40,1.332708028278689,0.30036542022944324
CEPU_BA,EMA_12_26,43,0.4418604651162791,7.868705252417286,-0.38059683220709445,31,0.4838709677419355,5.825450279902504,-0.38059683220709445,12,0.3333333333333333,0.29935826776603003,-0.30082102412113765,22,21,0.3100701652399671,5.769641419009641
CEPU_BA,SMA_10_50_100,29,0.7241379310344828,12.730403031355925,-0.36712092302241117,23,0.782608695652174,13.173721357159911,-0.23366379310344831,6,0.5,-0.03127748278895315,-0.36712092302241117,20,9,3.780627246393003,1.8720923685726722
