method,cut,n_tickers,cum_return_mean,cum_return_median,cagr_mean,cagr_median,max_drawdown_mean,max_drawdown_median,time_in_market_mean,n_beats_bh
HMA16,total,13,-0.20367406923966833,-0.2100342399541428,-0.06452729404400336,-0.040766536869653036,-0.6702299416767659,-0.66847268432917,0.5050892708159519,0.0
HMA16,is,13,0.016871178805707453,0.0021953589506533,-0.014096306557548378,0.0005540787306939077,-0.5463079844505105,-0.5424288333578544,0.5087105242224166,1.0
HMA16,oos,13,-0.26096089959548985,-0.2658435173969214,-0.16783761325733482,-0.16595672442733966,-0.5841771101677593,-0.5896125494303293,0.496671597633136,0.0
EMA_12_26,total,13,0.14746078868337073,-0.0145707216455495,-0.0017940117571419402,-0.0025878054585602994,-0.6072953403156215,-0.6124338644443387,0.5375159908782468,0.0
EMA_12_26,is,13,-0.01829785907620784,-0.1628033237673627,-0.030230585421287672,-0.04389247191111545,-0.5953383653979314,-0.6075384612239707,0.5418821096173734,0.0
EMA_12_26,oos,13,0.16542077299335464,0.1805791348939052,0.08459306466342283,0.10239082304567915,-0.39706967829704587,-0.35436497495072095,0.5273668639053254,4.0
SMA_10_50_100,total,13,-0.17953964579123702,-0.3084129039567569,-0.05694429899888432,-0.06302621536667197,-0.5855193455993403,-0.5231236844769618,0.44368429834807277,0.0
SMA_10_50_100,is,13,-0.22980555028567354,-0.2733312724351666,-0.08252451638781552,-0.077482713148461,-0.5733181630046662,-0.5231236844769618,0.4546177710603771,0.0
SMA_10_50_100,oos,13,0.030014302041266476,0.0865277963972788,0.012436051293261615,0.04993848320695582,-0.42714983420884567,-0.4313462102610811,0.4182692307692308,0.0
B&H,total,13,3.611382180832516,3.149663865546219,0.2907836168110158,0.28558452888470987,-0.5643196408635128,-0.53125,1.0,
B&H,is,13,2.2621312263223845,2.138148148148149,0.32433604950986733,0.33492360956463885,-0.4908615705943738,-0.5,1.0,
B&H,oos,13,0.4229752023678952,0.4373684210526316,0.22568586620804945,0.23744790976541696,-0.5482573320450139,-0.5272727272727272,1.0,
