alarm,n_tickers,bh_episode_mdd_median,n_recovered,window_len_median,alarm_mdd_median,exit_days_before_floor_median,alarm_wealth_at_recovery_median,bh_wealth_at_recovery_median,n_above_bh_at_recovery
HMA16,13,-0.38118773044637955,11,199.0,-0.3022944095874568,70.0,0.9655484897572267,1.0126467931345968,7
EMA_12_26,13,-0.38118773044637955,11,199.0,-0.3418261131057615,60.0,0.9427266610089792,1.0126467931345968,4
SMA_10_50_100,13,-0.38118773044637955,11,199.0,-0.3741659994662394,59.5,0.7912350618842522,1.0126467931345968,2
precio<SMA100,13,-0.38118773044637955,11,199.0,-0.4598924349944301,37.0,0.7308286219657107,1.0126467931345968,0
