alarm,n_tickers,bh_episode_mdd_median,n_recovered,window_len_median,alarm_mdd_median,exit_days_before_floor_median,alarm_wealth_at_recovery_median,bh_wealth_at_recovery_median,n_above_bh_at_recovery
HMA16,13,-0.53125,6,328.0,-0.5222393860169263,165.0,0.5774364080278989,0.8422391857506364,3
EMA_12_26,13,-0.53125,6,328.0,-0.3463630170709008,155.0,0.7526384586707919,0.8422391857506364,5
SMA_10_50_100,13,-0.53125,6,328.0,-0.47916979654448566,117.0,0.5584292594388567,0.8422391857506364,0
precio<SMA100,13,-0.53125,6,328.0,-0.504609819682968,141.0,0.5336566221026438,0.8422391857506364,2
