variant,cut,n_tickers,n_exits_mean,cagr_mean,cagr_median,mdd_mean,mdd_median,calmar_mean,calmar_median,worstday_mean,worstday_median,calmar_improves_vs_bh
B&H,total,12,0.0,0.9638552160845556,0.9777324452610876,-0.4862201793218581,-0.5049810696682512,2.1092475960704964,1.922092924883917,-0.1772631433756701,-0.1842303751500845,
B&H,is,12,0.0,1.3810654185760824,1.461476943854747,-0.38312433414772173,-0.37700653783220217,3.6538722135945663,4.023420754201674,-0.15277983615236626,-0.14287586974526156,
B&H,oos,12,0.0,0.26746155969628654,0.3278237838553282,-0.45786090381539074,-0.44651271061188313,0.7027689457615546,0.757499606618314,-0.15140685551563068,-0.14396732350212726,
HMA16,total,12,88.58333333333333,0.245382554024126,0.16714911426140444,-0.5474945386596418,-0.5441765862163466,0.4817914425925791,0.28938084474499864,-0.17726314337567006,-0.18423037515008445,no
HMA16,is,12,61.25,0.3888213939733945,0.3479951729605072,-0.4470659631661082,-0.4337501568347973,0.899151437148658,0.8377621561982569,-0.15277983615236626,-0.1428758697452615,no
HMA16,oos,12,27.5,-0.02386232573777532,-0.09690071144017393,-0.4697711244347711,-0.4540420610852228,-0.00764928024963298,-0.1836702977855315,-0.1405056509593908,-0.1338059747649678,no
EMA_12_26,total,12,24.583333333333332,0.4614977084330276,0.4873481151074227,-0.5042768304309744,-0.5018162939074827,0.94298886208127,0.9610623531805473,-0.15042039563558315,-0.14287586974526156,no
EMA_12_26,is,12,16.416666666666668,0.6315939259849446,0.6242469417949552,-0.44006404486889505,-0.4598578985334016,1.5149407277876887,1.323813071058173,-0.15042039563558315,-0.14287586974526156,no
EMA_12_26,oos,12,8.25,0.1449492192820119,0.1510448705242714,-0.45144517129325684,-0.4353831787631461,0.3611390127213953,0.3033643823737783,-0.08729621609361148,-0.08744610466845076,no
SMA_10_50_100,total,12,4.916666666666667,0.7048934051889804,0.7458002512218314,-0.45460289717999464,-0.44004344342184537,1.6468081692404304,1.611412149496334,-0.15362701937628467,-0.14287586974526162,no
SMA_10_50_100,is,12,2.5833333333333335,1.0747494747643558,1.1486562491494257,-0.38300652655041917,-0.3770065378322022,2.858597387722988,3.1194109905328107,-0.1527798361523663,-0.14287586974526162,no
SMA_10_50_100,oos,12,2.4166666666666665,0.08340368972745216,0.11902386395736142,-0.4192339697300534,-0.42917035338336795,0.23267767243185997,0.2886576260347342,-0.10530320683532647,-0.10040462589605734,no
precio<SMA100,total,12,30.75,0.49956156835198867,0.5177281366355093,-0.5576064839663336,-0.5466242299235156,0.910255205898071,0.9049085133427182,-0.15393392155019767,-0.14287586974526156,no
precio<SMA100,is,12,17.75,0.8210723088142843,0.7773289209031916,-0.47617134594166455,-0.491937899439343,1.774409130316864,1.4917228472204551,-0.1530867383262793,-0.14287586974526156,no
precio<SMA100,oos,12,13.166666666666666,-0.03248087670780101,-0.050958870935398914,-0.5088596165399916,-0.498101190540715,-0.04844106528718493,-0.08901609398837623,-0.10068662100625679,-0.09795973929543766,no
