scope,n_confirmed,n_not_confirmed,win_rate_confirmed,win_rate_not_confirmed,win_rate_spread,winrate_z,winrate_pvalue,mean_return_confirmed,mean_return_not_confirmed,expectancy_spread,return_welch_t,return_pvalue
AGREGADO,2008,1485,0.4347609561752988,0.40134680134680134,0.03341415482849747,1.9776922084219926,0.04796343978620454,0.028455046495858866,0.02815510240831111,0.00029994408754775714,0.05199515684975071,0.9585325524697654
HMA16,1120,833,0.4035714285714286,0.35414165666266506,0.04942977190876352,2.222988854731026,0.02621655151471547,0.0156715486729941,0.009425310065425206,0.006246238607568892,1.0142815072538527,0.3104484455748806
EMA_12_26,552,394,0.427536231884058,0.41624365482233505,0.01129257706172293,0.3466011216963397,0.7288910031033542,0.03640444888093464,0.04297942880310893,-0.00657497992217429,-0.5084280724823929,0.6111531697790111
SMA_10_50_100,336,258,0.5505952380952381,0.5310077519379846,0.019587486157253586,0.4749403072413888,0.634829520780037,0.05800697341564074,0.06598894900549566,-0.007981975589854924,-0.45865560146729706,0.6464815018167744
