variant,cut,n_tickers,n_exits_mean,cagr_mean,cagr_median,mdd_mean,mdd_median,calmar_mean,calmar_median,worstday_mean,worstday_median,calmar_improves_vs_bh
B&H,total,12,0.0,0.2744483559879292,0.28294242684585236,-0.5933161998600022,-0.6119960428972874,0.5033987098722591,0.42668351489629097,-0.20553505845443784,-0.20967741935483875,
B&H,is,12,0.0,0.3177534168600334,0.3613102949362398,-0.49564876843794387,-0.5058139534883719,0.6743447795304078,0.6902305841833073,-0.17649311065667453,-0.16927627000695888,
B&H,oos,12,0.0,0.19201291637436993,0.24773492923878337,-0.5819105094327321,-0.5858005597289736,0.3789275643050181,0.44040172068558275,-0.17637873769502385,-0.1721371057928876,
HMA16,total,12,74.41666666666667,-0.08597146613851385,-0.10630711114948432,-0.679334157850998,-0.6725217278600888,-0.11661886390011822,-0.15580038048644312,-0.18998940398388361,-0.18534303534303537,no
HMA16,is,12,50.833333333333336,-0.04825816267571448,-0.08348037540165398,-0.5503865194085169,-0.5593016592096445,-0.04135388096514764,-0.1397192211477265,-0.175456923824218,-0.16927627000695888,no
HMA16,oos,12,23.75,-0.16423141671245908,-0.15611928921536283,-0.5825922151816444,-0.572272397629754,-0.2776494198257386,-0.2932435068834204,-0.12474334474543518,-0.10168753859877856,no
EMA_12_26,total,12,21.0,-0.008747230623202401,-0.0027049310899689427,-0.6332748285415332,-0.6485700911879224,0.006030060423542375,-0.004451336830363091,-0.1614192379695897,-0.1522556390977444,no
EMA_12_26,is,12,14.75,-0.05860304368397975,-0.06282126703098928,-0.6077827456761705,-0.6141075483033601,-0.07013584194995487,-0.10416181875502428,-0.1614192379695897,-0.1522556390977444,no
EMA_12_26,oos,12,6.333333333333333,0.1394975359716873,0.16297393383664305,-0.40505664329033664,-0.37431999819204576,0.4454399245921486,0.3737833618299995,-0.08175960938060668,-0.08103779511453951,no
SMA_10_50_100,total,12,7.0,0.003505470042585159,0.005597158932551749,-0.6042788283747854,-0.600944158523538,0.032008205751552325,0.012294204276277265,-0.15112018574455457,-0.14071319603356214,no
SMA_10_50_100,is,12,4.833333333333333,0.0021165741972682026,-0.01079039451383984,-0.5729821969633209,-0.5550226156195781,0.039752674255848254,-0.020043273704906234,-0.15112018574455457,-0.14071319603356214,no
SMA_10_50_100,oos,12,2.25,0.08431239475082135,0.08125806951629189,-0.4504540385698259,-0.4592701542444951,0.23366553113446653,0.1680239322582467,-0.09464702889792816,-0.09324678219200985,no
precio<SMA100,total,12,38.833333333333336,-0.03526562374183729,-0.025136589630850636,-0.6463836341123378,-0.5990695676990281,-0.026808549103516478,-0.04264882304856364,-0.16604160375946816,-0.16190476190476188,no
precio<SMA100,is,12,27.833333333333332,-0.056317876381430106,-0.026067350859260874,-0.6116188227181,-0.5929042207899047,-0.05990909777062056,-0.05162553327424315,-0.16604160375946816,-0.16190476190476188,no
precio<SMA100,oos,12,11.25,0.01999340897608502,0.012140315260902645,-0.483440868132381,-0.4606520782578231,0.0669083400285983,0.022587729088264664,-0.08995199568096064,-0.08962979147605456,no
