method,cut,cost,n_tickers,n_trades_total,cagr_mean,cagr_median,cum_return_mean,cum_return_median,n_beats_bh
HMA16,total,0.0,12,1067,0.4738339367012226,0.38912846951085256,10.75740789505839,5.419510466522771,0.0
HMA16,total,0.005,12,1067,0.36445677368270907,0.27978422138368675,6.696936982159915,3.0373156053025703,0.0
HMA16,total,0.01,12,1067,0.2627273089929179,0.1830928888342951,4.030994809806204,1.58835609215359,0.0
HMA16,is,0.0,12,736,0.6371571045377843,0.5985021666358622,6.952651702907598,5.400727768117003,0.0
HMA16,is,0.005,12,736,0.5180091327953024,0.47369935790898565,4.926818407470852,3.6423364985289495,0.0
HMA16,is,0.01,12,736,0.4070284469874234,0.35808999097165617,3.411798781916407,2.361648887813546,0.0
HMA16,oos,0.0,12,331,0.16514600863748788,0.10509026930268961,0.3208809129324159,0.18522465085642303,3.0
HMA16,oos,0.005,12,331,0.07500425925424334,0.018871473555758578,0.1528361179955199,0.03230353967084498,2.0
HMA16,oos,0.01,12,331,-0.008537497797464044,-0.06099136251743997,0.005570086910790982,-0.10146895180145249,0.0
EMA_12_26,total,0.0,12,522,0.5023975570049772,0.5121228725683904,9.90726311394467,9.37118122396338,0.0
EMA_12_26,total,0.005,12,522,0.4476410282448746,0.4583098468470852,7.846650559856658,7.449223897946067,0.0
EMA_12_26,total,0.01,12,522,0.3946233894663335,0.40615712095235157,6.168065216997536,5.876400595805823,0.0
EMA_12_26,is,0.0,12,382,0.6751235232904516,0.689959529053095,7.284480267517253,6.9817826371162806,0.0
EMA_12_26,is,0.005,12,382,0.6120483220491715,0.6278213838840526,6.124835293005497,5.881148873238754,0.0
EMA_12_26,is,0.01,12,382,0.5510596443163127,0.5676781297271535,5.123229527887395,4.92802820883275,0.0
EMA_12_26,oos,0.0,12,140,0.18483590191576107,0.17470752817613522,0.3502669499340068,0.31491441693241984,3.0
EMA_12_26,oos,0.005,12,140,0.14521856241395778,0.13390085650406036,0.2746946380014288,0.23820343127392318,2.0
EMA_12_26,oos,0.01,12,140,0.10674235769507301,0.09430988842333687,0.2030276197668103,0.16560237848672477,1.0
SMA_10_50_100,total,0.0,12,344,0.5826550318768576,0.6559418040616519,14.728911944540394,16.347269260813917,0.0
SMA_10_50_100,total,0.005,12,344,0.545680838252199,0.6170743506868462,12.767754167869578,14.166637990455195,0.0
SMA_10_50_100,total,0.01,12,344,0.5094084139442889,0.5789377246252303,11.046285151108714,12.251509139667863,0.0
SMA_10_50_100,is,0.0,12,267,0.8500287841584705,0.8632701757933401,11.41556410549065,10.713617239915713,0.0
SMA_10_50_100,is,0.005,12,267,0.8028653641211045,0.8130387739237525,10.204514833445488,9.513379425137554,0.0
SMA_10_50_100,is,0.01,12,267,0.7566950663352808,0.7639315153138867,9.107217229245228,8.43130593584726,0.0
SMA_10_50_100,oos,0.0,12,77,0.11876901292209312,0.1694947222573776,0.2354116038989403,0.3050294987023967,1.0
SMA_10_50_100,oos,0.005,12,77,0.09827364036947162,0.15134209746727967,0.19759229383533797,0.2707651949856017,1.0
SMA_10_50_100,oos,0.01,12,77,0.07808490860566215,0.13338563727568542,0.16084186880098442,0.2372448346578634,1.0
B&H,total,0.0,12,12,0.9794423943545559,0.995526027787461,52.69075207546168,48.80428970713331,
B&H,total,0.005,12,12,0.9793997457622271,0.995490604989893,52.68575207546167,48.79928970713331,
B&H,total,0.01,12,12,0.9793570910418717,0.9954551792637518,52.68075207546167,48.794289707133316,
B&H,is,0.0,12,12,1.3555628642088982,1.4119081415804924,30.787587341696664,31.606889327339665,
B&H,is,0.005,12,12,1.3554518704904661,1.4118138663317092,30.782587341696665,31.601889327339666,
B&H,is,0.01,12,12,1.3553408556129003,1.4117195800862192,30.77758734169667,31.596889327339667,
B&H,oos,0.0,12,12,0.3366864915066117,0.4081501984627808,0.6598294398973379,0.7895271363973391,
B&H,oos,0.005,12,12,0.3342451163250331,0.4058347321908897,0.6548294398973379,0.7845271363973391,
B&H,oos,0.01,12,12,0.3318002828260384,0.40351659234840165,0.6498294398973378,0.7795271363973391,
