scope,n_aligned,n_not_aligned,n_neutral,coverage_aligned,coverage_not_aligned,coverage_neutral,win_rate_aligned,win_rate_not_aligned,win_rate_spread,winrate_z,winrate_pvalue,mean_return_aligned,mean_return_not_aligned,expectancy_spread,return_welch_t,return_pvalue
AGREGADO,379,111,3018,0.1080387685290764,0.03164196123147092,0.8603192702394526,0.49868073878627966,0.45045045045045046,0.04823028833582921,0.8940528284300374,0.37129362637712005,0.047842468256468096,0.03613710601181219,0.011705362244655904,0.6327808935779354,0.5268767354523949
HMA16,251,37,1680,0.12754065040650406,0.018800813008130083,0.8536585365853658,0.4820717131474104,0.32432432432432434,0.15774738882308603,1.79681959970658,0.07236426377363214,0.041910694227313694,0.0016376012233048937,0.0402730930040088,2.2175820756179023,0.026583341155181017
EMA_12_26,85,40,821,0.08985200845665962,0.042283298097251586,0.8678646934460887,0.49411764705882355,0.475,0.019117647058823573,0.19946835226050258,0.8418963971371769,0.043340034893997514,0.06020067441284131,-0.016860639518843798,-0.4493480131636057,0.653180627181521
SMA_10_50_100,43,34,517,0.0723905723905724,0.05723905723905724,0.8703703703703703,0.6046511627906976,0.5588235294117647,0.04582763337893292,0.4051960778797191,0.6853333877638095,0.091367633771067,0.04537060428044764,0.045997029490619366,0.9960030857195015,0.31924864590186575
