date,close,source
2020-09-14,3.319580078125,yfinance
2020-09-15,3.3086960315704346,yfinance
2020-09-16,3.265160083770752,yfinance
2020-09-17,3.232508897781372,yfinance
2020-09-18,3.167206048965454,yfinance
2020-09-21,3.1236701011657715,yfinance
2020-09-22,3.047482967376709,yfinance
2020-09-23,2.862457036972046,yfinance
2020-09-24,3.2107410430908203,yfinance
2020-09-25,3.297811985015869,yfinance
2020-09-28,3.112786054611206,yfinance
2020-09-29,3.0583670139312744,yfinance
2020-09-30,3.06925106048584,yfinance
2020-10-01,3.254276990890503,yfinance
2020-10-02,3.1563220024108887,yfinance
2020-10-05,3.232508897781372,yfinance
2020-10-06,3.2107410430908203,yfinance
2020-10-07,3.319580078125,yfinance
2020-10-08,3.3086960315704346,yfinance
2020-10-09,3.3957669734954834,yfinance
2020-10-12,3.2760438919067383,yfinance
2020-10-13,3.3086960315704346,yfinance
2020-10-14,3.363115072250366,yfinance
2020-10-15,3.3957669734954834,yfinance
2020-10-16,3.406651020050049,yfinance
2020-10-19,3.6787469387054443,yfinance
2020-10-20,3.7113990783691406,yfinance
2020-10-21,3.428417921066284,yfinance
2020-10-22,3.167206048965454,yfinance
2020-10-23,3.3739991188049316,yfinance
2020-10-26,3.3413469791412354,yfinance
2020-10-27,3.2869279384613037,yfinance
2020-10-28,3.3304638862609863,yfinance
2020-10-29,3.744050979614258,yfinance
2020-10-30,3.994379997253418,yfinance
2020-11-02,4.603876113891602,yfinance
2020-11-03,4.135869979858398,yfinance
2020-11-04,4.059682846069336,yfinance
2020-11-05,4.157638072967529,yfinance
2020-11-06,4.255591869354248,yfinance
2020-11-09,4.875973224639893,yfinance
2020-11-10,4.701830863952637,yfinance
2020-11-11,4.571225166320801,yfinance
2020-11-12,4.560340881347656,yfinance
2020-11-13,4.586548805236816,yfinance
2020-11-16,4.818081855773926,yfinance
2020-11-17,4.895258903503418,yfinance
2020-11-18,5.556780815124512,yfinance
2020-11-19,5.325247764587402,yfinance
2020-11-20,5.126791954040527,yfinance
2020-11-23,4.939361095428467,yfinance
2020-11-24,5.104741096496582,yfinance
2020-11-25,4.972436904907227,yfinance
2020-11-27,4.773980140686035,yfinance
2020-11-30,4.807055950164795,yfinance
2020-12-01,4.7960309982299805,yfinance
2020-12-02,5.071664810180664,yfinance
2020-12-03,5.325247764587402,yfinance
2020-12-04,5.126791954040527,yfinance
2020-12-07,5.137816905975342,yfinance
2020-12-08,5.336273193359375,yfinance
2020-12-09,5.369349956512451,yfinance
2020-12-10,5.611907005310059,yfinance
2020-12-11,5.501654148101807,yfinance
2020-12-14,4.818081855773926,yfinance
2020-12-15,5.049613952636719,yfinance
2020-12-16,5.1157660484313965,yfinance
2020-12-17,5.148841857910156,yfinance
2020-12-18,5.1157660484313965,yfinance
2020-12-21,5.093716144561768,yfinance
2020-12-22,4.9944868087768555,yfinance
2020-12-23,5.148841857910156,yfinance
2020-12-24,4.9944868087768555,yfinance
2020-12-28,4.906283855438232,yfinance
2020-12-29,4.785006046295166,yfinance
2020-12-30,4.961410999298096,yfinance
2020-12-31,4.972436904907227,yfinance
2021-01-04,4.7960309982299805,yfinance
2021-01-05,4.950386047363281,yfinance
2021-01-06,4.840132236480713,yfinance
2021-01-07,4.983461856842041,yfinance
2021-01-08,4.8842339515686035,yfinance
2021-01-11,4.7960309982299805,yfinance
2021-01-12,5.270121097564697,yfinance
2021-01-13,5.192944049835205,yfinance
2021-01-14,5.336273193359375,yfinance
2021-01-15,4.906283855438232,yfinance
2021-01-19,5.490627765655518,yfinance
2021-01-20,5.457551956176758,yfinance
2021-01-21,5.248071193695068,yfinance
2021-01-22,5.049613952636719,yfinance
2021-01-25,5.049613952636719,yfinance
2021-01-26,4.895258903503418,yfinance
2021-01-27,4.652700901031494,yfinance
2021-01-28,4.652700901031494,yfinance
2021-01-29,4.619625091552734,yfinance
2021-02-01,4.718852996826172,yfinance
2021-02-02,4.7960309982299805,yfinance
2021-02-03,4.785006046295166,yfinance
2021-02-04,4.575523853302002,yfinance
2021-02-05,4.652700901031494,yfinance
2021-02-08,4.685777187347412,yfinance
2021-02-09,4.906283855438232,yfinance
2021-02-10,4.8842339515686035,yfinance
2021-02-11,4.807055950164795,yfinance
2021-02-12,4.873208045959473,yfinance
2021-02-16,4.785006046295166,yfinance
2021-02-17,4.961410999298096,yfinance
2021-02-18,4.630650043487549,yfinance
2021-02-19,4.718852996826172,yfinance
2021-02-22,4.696803092956543,yfinance
2021-02-23,4.685777187347412,yfinance
2021-02-24,4.685777187347412,yfinance
2021-02-25,4.520397186279297,yfinance
2021-02-26,4.575523853302002,yfinance
2021-03-01,4.509372234344482,yfinance
2021-03-02,4.476294994354248,yfinance
2021-03-03,4.520397186279297,yfinance
2021-03-04,4.443219184875488,yfinance
2021-03-05,4.332965850830078,yfinance
2021-03-08,4.22271203994751,yfinance
2021-03-09,4.343990802764893,yfinance
2021-03-10,4.465270042419434,yfinance
2021-03-11,4.476294994354248,yfinance
2021-03-12,4.476294994354248,yfinance
2021-03-15,4.785006046295166,yfinance
2021-03-16,4.476294994354248,yfinance
2021-03-17,4.64167594909668,yfinance
2021-03-18,4.355017185211182,yfinance
2021-03-19,4.355017185211182,yfinance
2021-03-22,4.366042137145996,yfinance
2021-03-23,4.200662136077881,yfinance
2021-03-24,4.266814231872559,yfinance
2021-03-25,4.211687088012695,yfinance
2021-03-26,4.2557878494262695,yfinance
2021-03-29,4.332965850830078,yfinance
2021-03-30,4.41014289855957,yfinance
2021-03-31,4.2888641357421875,yfinance
2021-04-01,4.321939945220947,yfinance
2021-04-05,4.3770670890808105,yfinance
2021-04-06,4.509372234344482,yfinance
2021-04-07,4.343990802764893,yfinance
2021-04-08,4.421168804168701,yfinance
2021-04-09,4.366042137145996,yfinance
2021-04-12,4.432194232940674,yfinance
2021-04-13,4.498345851898193,yfinance
2021-04-14,4.498345851898193,yfinance
2021-04-15,4.299890041351318,yfinance
2021-04-16,4.18963623046875,yfinance
2021-04-19,4.1675848960876465,yfinance
2021-04-20,4.112459182739258,yfinance
2021-04-21,3.925028085708618,yfinance
2021-04-22,3.9360530376434326,yfinance
2021-04-23,4.090407848358154,yfinance
2021-04-26,4.013229846954346,yfinance
2021-04-27,4.112459182739258,yfinance
2021-04-28,4.07938289642334,yfinance
2021-04-29,4.134509086608887,yfinance
2021-04-30,4.211687088012695,yfinance
2021-05-03,4.332965850830078,yfinance
2021-05-04,4.2888641357421875,yfinance
2021-05-05,4.3770670890808105,yfinance
2021-05-06,4.299890041351318,yfinance
2021-05-07,4.355017185211182,yfinance
2021-05-10,4.388092994689941,yfinance
2021-05-11,4.277839183807373,yfinance
2021-05-12,4.18963623046875,yfinance
2021-05-13,4.123484134674072,yfinance
2021-05-14,4.3770670890808105,yfinance
2021-05-17,4.3770670890808105,yfinance
2021-05-18,4.332965850830078,yfinance
2021-05-19,4.2888641357421875,yfinance
2021-05-20,4.18963623046875,yfinance
2021-05-21,4.1675848960876465,yfinance
2021-05-24,4.2557878494262695,yfinance
2021-05-25,4.090407848358154,yfinance
2021-05-26,3.980154037475586,yfinance
2021-05-27,4.002204895019531,yfinance
2021-05-28,4.068356990814209,yfinance
2021-06-01,4.211687088012695,yfinance
2021-06-02,4.41014289855957,yfinance
2021-06-03,4.60860013961792,yfinance
2021-06-04,4.355017185211182,yfinance
2021-06-07,4.498345851898193,yfinance
2021-06-08,4.41014289855957,yfinance
2021-06-09,4.553472995758057,yfinance
2021-06-10,4.421168804168701,yfinance
2021-06-11,4.343990802764893,yfinance
2021-06-14,4.575523853302002,yfinance
2021-06-15,4.520397186279297,yfinance
2021-06-16,4.531422138214111,yfinance
2021-06-17,4.41014289855957,yfinance
2021-06-18,4.520397186279297,yfinance
2021-06-21,4.64167594909668,yfinance
2021-06-22,4.454245090484619,yfinance
2021-06-23,4.399117946624756,yfinance
2021-06-24,4.41014289855957,yfinance
2021-06-25,4.22271203994751,yfinance
2021-06-28,4.178610801696777,yfinance
2021-06-29,4.178610801696777,yfinance
2021-06-30,4.090407848358154,yfinance
2021-07-01,4.200662136077881,yfinance
2021-07-02,4.211687088012695,yfinance
2021-07-06,4.277839183807373,yfinance
2021-07-07,4.266814231872559,yfinance
2021-07-08,4.729878902435303,yfinance
2021-07-09,5.17089319229126,yfinance
2021-07-12,5.0826897621154785,yfinance
2021-07-13,5.292171955108643,yfinance
2021-07-14,5.281147003173828,yfinance
2021-07-15,5.226019859313965,yfinance
2021-07-16,5.060638904571533,yfinance
2021-07-19,4.82910680770874,yfinance
2021-07-20,4.807055950164795,yfinance
2021-07-21,4.9944868087768555,yfinance
2021-07-22,5.016538143157959,yfinance
2021-07-23,4.895258903503418,yfinance
2021-07-26,4.9944868087768555,yfinance
2021-07-27,5.237044811248779,yfinance
2021-07-28,5.060638904571533,yfinance
2021-07-29,5.016538143157959,yfinance
2021-07-30,4.961410999298096,yfinance
2021-08-02,4.906283855438232,yfinance
2021-08-03,4.785006046295166,yfinance
2021-08-04,4.7960309982299805,yfinance
2021-08-05,4.740903854370117,yfinance
2021-08-06,4.707828044891357,yfinance
2021-08-09,4.707828044891357,yfinance
2021-08-10,4.64167594909668,yfinance
2021-08-11,4.7960309982299805,yfinance
2021-08-12,4.740903854370117,yfinance
2021-08-13,4.564497947692871,yfinance
2021-08-16,4.520397186279297,yfinance
2021-08-17,4.465270042419434,yfinance
2021-08-18,4.366042137145996,yfinance
2021-08-19,4.663726806640625,yfinance
2021-08-20,4.685777187347412,yfinance
2021-08-23,4.785006046295166,yfinance
2021-08-24,4.906283855438232,yfinance
2021-08-25,4.82910680770874,yfinance
2021-08-26,4.685777187347412,yfinance
2021-08-27,4.873208045959473,yfinance
2021-08-30,5.071664810180664,yfinance
2021-08-31,5.0826897621154785,yfinance
2021-09-01,5.093716144561768,yfinance
2021-09-02,5.314222812652588,yfinance
2021-09-03,5.137816905975342,yfinance
2021-09-07,5.303196907043457,yfinance
2021-09-08,5.159867763519287,yfinance
2021-09-09,5.159867763519287,yfinance
2021-09-10,4.972436904907227,yfinance
2021-09-13,5.226019859313965,yfinance
2021-09-14,5.049613952636719,yfinance
2021-09-15,4.972436904907227,yfinance
2021-09-16,4.9944868087768555,yfinance
2021-09-17,4.8842339515686035,yfinance
2021-09-20,4.531422138214111,yfinance
2021-09-21,4.564497947692871,yfinance
2021-09-22,4.586548805236816,yfinance
2021-09-23,4.542448043823242,yfinance
2021-09-24,4.3770670890808105,yfinance
2021-09-27,4.542448043823242,yfinance
2021-09-28,4.3770670890808105,yfinance
2021-09-29,4.41014289855957,yfinance
2021-09-30,4.509372234344482,yfinance
2021-10-01,5.093716144561768,yfinance
2021-10-04,5.1157660484313965,yfinance
2021-10-05,5.159867763519287,yfinance
2021-10-06,4.906283855438232,yfinance
2021-10-07,4.873208045959473,yfinance
2021-10-08,4.8842339515686035,yfinance
2021-10-11,4.895258903503418,yfinance
2021-10-12,4.895258903503418,yfinance
2021-10-13,4.939361095428467,yfinance
2021-10-14,4.939361095428467,yfinance
2021-10-15,5.071664810180664,yfinance
2021-10-18,5.148841857910156,yfinance
2021-10-19,5.347299098968506,yfinance
2021-10-20,5.380374908447266,yfinance
2021-10-21,5.2039690017700195,yfinance
2021-10-22,5.35832405090332,yfinance
2021-10-25,5.479602813720703,yfinance
2021-10-26,5.556780815124512,yfinance
2021-10-27,5.457551956176758,yfinance
2021-10-28,5.402425765991211,yfinance
2021-10-29,5.17089319229126,yfinance
2021-11-01,5.435502052307129,yfinance
2021-11-02,5.380374908447266,yfinance
2021-11-03,5.424476146697998,yfinance
2021-11-04,5.314222812652588,yfinance
2021-11-05,5.281147003173828,yfinance
2021-11-08,5.303196907043457,yfinance
2021-11-09,5.248071193695068,yfinance
2021-11-10,5.181918144226074,yfinance
2021-11-11,5.192944049835205,yfinance
2021-11-12,5.181918144226074,yfinance
2021-11-15,5.214993953704834,yfinance
2021-11-16,5.049613952636719,yfinance
2021-11-17,5.027563095092773,yfinance
2021-11-18,4.807055950164795,yfinance
2021-11-19,4.652700901031494,yfinance
2021-11-22,4.652700901031494,yfinance
2021-11-23,4.520397186279297,yfinance
2021-11-24,4.542448043823242,yfinance
2021-11-26,4.465270042419434,yfinance
2021-11-29,4.520397186279297,yfinance
2021-11-30,4.685777187347412,yfinance
2021-12-01,5.314222812652588,yfinance
2021-12-02,5.137816905975342,yfinance
2021-12-03,5.071664810180664,yfinance
2021-12-06,5.016538143157959,yfinance
2021-12-07,5.159867763519287,yfinance
2021-12-08,4.9944868087768555,yfinance
2021-12-09,4.873208045959473,yfinance
2021-12-10,5.049613952636719,yfinance
2021-12-13,4.939361095428467,yfinance
2021-12-14,4.707828044891357,yfinance
2021-12-15,4.64167594909668,yfinance
2021-12-16,4.553472995758057,yfinance
2021-12-17,4.619625091552734,yfinance
2021-12-20,4.41014289855957,yfinance
2021-12-21,4.630650043487549,yfinance
2021-12-22,4.60860013961792,yfinance
2021-12-23,4.751928806304932,yfinance
2021-12-27,4.685777187347412,yfinance
2021-12-28,4.465270042419434,yfinance
2021-12-29,4.454245090484619,yfinance
2021-12-30,4.663726806640625,yfinance
2021-12-31,4.696803092956543,yfinance
2022-01-03,4.696803092956543,yfinance
2022-01-04,4.575523853302002,yfinance
2022-01-05,4.476294994354248,yfinance
2022-01-06,4.465270042419434,yfinance
2022-01-07,4.388092994689941,yfinance
2022-01-10,4.476294994354248,yfinance
2022-01-11,4.498345851898193,yfinance
2022-01-12,4.509372234344482,yfinance
2022-01-13,4.454245090484619,yfinance
2022-01-14,4.487320899963379,yfinance
2022-01-18,4.454245090484619,yfinance
2022-01-19,4.509372234344482,yfinance
2022-01-20,4.619625091552734,yfinance
2022-01-21,4.619625091552734,yfinance
2022-01-24,4.388092994689941,yfinance
2022-01-25,4.421168804168701,yfinance
2022-01-26,4.41014289855957,yfinance
2022-01-27,4.454245090484619,yfinance
2022-01-28,4.740903854370117,yfinance
2022-01-31,4.8842339515686035,yfinance
2022-02-01,4.961410999298096,yfinance
2022-02-02,4.785006046295166,yfinance
2022-02-03,4.707828044891357,yfinance
2022-02-04,4.652700901031494,yfinance
2022-02-07,4.807055950164795,yfinance
2022-02-08,4.729878902435303,yfinance
2022-02-09,4.729878902435303,yfinance
2022-02-10,4.575523853302002,yfinance
2022-02-11,4.7960309982299805,yfinance
2022-02-14,4.895258903503418,yfinance
2022-02-15,4.961410999298096,yfinance
2022-02-16,5.049613952636719,yfinance
2022-02-17,5.038589000701904,yfinance
2022-02-18,5.027563095092773,yfinance
2022-02-22,5.237044811248779,yfinance
2022-02-23,5.1157660484313965,yfinance
2022-02-24,5.0826897621154785,yfinance
2022-02-25,5.17089319229126,yfinance
2022-02-28,5.237044811248779,yfinance
2022-03-01,5.214993953704834,yfinance
2022-03-02,5.137816905975342,yfinance
2022-03-03,5.192944049835205,yfinance
2022-03-04,5.347299098968506,yfinance
2022-03-07,5.137816905975342,yfinance
2022-03-08,5.027563095092773,yfinance
2022-03-09,5.137816905975342,yfinance
2022-03-10,5.446527004241943,yfinance
2022-03-11,5.380374908447266,yfinance
2022-03-14,5.192944049835205,yfinance
2022-03-15,5.214993953704834,yfinance
2022-03-16,5.380374908447266,yfinance
2022-03-17,5.413451194763184,yfinance
2022-03-18,5.600882053375244,yfinance
2022-03-21,5.733185768127441,yfinance
2022-03-22,5.600882053375244,yfinance
2022-03-23,5.457551956176758,yfinance
2022-03-24,5.545754909515381,yfinance
2022-03-25,5.512679100036621,yfinance
2022-03-28,5.435502052307129,yfinance
2022-03-29,5.380374908447266,yfinance
2022-03-30,5.369349956512451,yfinance
2022-03-31,5.490627765655518,yfinance
2022-04-01,5.490627765655518,yfinance
2022-04-04,5.490627765655518,yfinance
2022-04-05,5.325247764587402,yfinance
2022-04-06,5.325247764587402,yfinance
2022-04-07,5.490627765655518,yfinance
2022-04-08,5.534729957580566,yfinance
2022-04-11,5.457551956176758,yfinance
2022-04-12,5.402425765991211,yfinance
