date,close,source
2020-09-14,2.6884169578552246,yfinance
2020-09-15,2.670788049697876,yfinance
2020-09-16,2.6002719402313232,yfinance
2020-09-17,2.6002719402313232,yfinance
2020-09-18,2.626715898513794,yfinance
2020-09-21,2.4768691062927246,yfinance
2020-09-22,2.415168046951294,yfinance
2020-09-23,2.344651937484741,yfinance
2020-09-24,2.5297560691833496,yfinance
2020-09-25,2.6796019077301025,yfinance
2020-09-28,2.4856839179992676,yfinance
2020-09-29,2.4239819049835205,yfinance
2020-09-30,2.4768691062927246,yfinance
2020-10-01,2.6090869903564453,yfinance
2020-10-02,2.5297560691833496,yfinance
2020-10-05,2.565013885498047,yfinance
2020-10-06,2.6796019077301025,yfinance
2020-10-07,2.6972310543060303,yfinance
2020-10-08,2.8030049800872803,yfinance
2020-10-09,2.7413039207458496,yfinance
2020-10-12,2.7589330673217773,yfinance
2020-10-13,2.7060461044311523,yfinance
2020-10-14,2.6531589031219482,yfinance
2020-10-15,2.6531589031219482,yfinance
2020-10-16,2.6002719402313232,yfinance
2020-10-19,2.617901086807251,yfinance
2020-10-20,2.6002719402313232,yfinance
2020-10-21,2.565013885498047,yfinance
2020-10-22,2.5562000274658203,yfinance
2020-10-23,2.820633888244629,yfinance
2020-10-26,2.723675012588501,yfinance
2020-10-27,2.626715898513794,yfinance
2020-10-28,2.670788049697876,yfinance
2020-10-29,2.6884169578552246,yfinance
2020-10-30,2.776561975479126,yfinance
2020-11-02,2.9881091117858887,yfinance
2020-11-03,3.2613580226898193,yfinance
2020-11-04,3.173213005065918,yfinance
2020-11-05,3.226099967956543,yfinance
2020-11-06,3.1379549503326416,yfinance
2020-11-09,3.4640910625457764,yfinance
2020-11-10,3.384761095046997,yfinance
2020-11-11,3.384761095046997,yfinance
2020-11-12,3.28780198097229,yfinance
2020-11-13,3.278986930847168,yfinance
2020-11-16,3.3671319484710693,yfinance
2020-11-17,3.5081639289855957,yfinance
2020-11-18,3.5257930755615234,yfinance
2020-11-19,3.4552769660949707,yfinance
2020-11-20,3.384761095046997,yfinance
2020-11-23,3.4112040996551514,yfinance
2020-11-24,3.4729061126708984,yfinance
2020-11-25,3.5081639289855957,yfinance
2020-11-27,3.5169780254364014,yfinance
2020-11-30,3.4993491172790527,yfinance
2020-12-01,3.5610508918762207,yfinance
2020-12-02,3.5169780254364014,yfinance
2020-12-03,3.6051230430603027,yfinance
2020-12-04,3.7108969688415527,yfinance
2020-12-07,3.6668241024017334,yfinance
2020-12-08,3.7814130783081055,yfinance
2020-12-09,3.7285261154174805,yfinance
2020-12-10,3.631566047668457,yfinance
2020-12-11,3.640381097793579,yfinance
2020-12-14,3.6051230430603027,yfinance
2020-12-15,3.543421983718872,yfinance
2020-12-16,3.4464619159698486,yfinance
